Rank, cca3, country name, continent, 2023 population, land area, population density, growth rate, world percentage 
1,IND,India,Asia,1428627663,3.28759e+06,481,17.85,0.81
2,CHN,China,Asia,1425671352,9.70696e+06,151,17.81,-0.02
3,USA,United States,North America,339996563,9.37261e+06,37,4.25,0.5
4,IDN,Indonesia,Asia,277534122,1.90457e+06,148,3.47,0.74
5,PAK,Pakistan,Asia,240485658,881912,312,3,1.98
6,NGA,Nigeria,Africa,223804632,923768,246,2.8,2.41
7,BRA,Brazil,South America,216422446,8.51577e+06,26,2.7,0.52
8,BGD,Bangladesh,Asia,172954319,147570,1329,2.16,1.03
9,RUS,Russia,Europe,144444359,1.70982e+07,9,1.8,-0.19
10,MEX,Mexico,North America,128455567,1.96438e+06,66,1.6,0.75
11,ETH,Ethiopia,Africa,126527060,1.1043e+06,112,1.58,2.55
12,JPN,Japan,Asia,123294513,377930,338,1.54,-0.53
13,PHL,Philippines,Asia,117337368,342353,394,1.47,1.54
14,EGY,Egypt,Africa,112716598,1.00245e+06,113,1.41,1.56
15,COD,DR Congo,Africa,102262808,2.34486e+06,45,1.28,3.29
